feature1,feature2,feature3,feature4,feature5,fraud_label
6411.81896641661,59,24,0,3638.6545069376034,1
8883.406151505633,48,35,1,4134.843004147501,0
4774.927759103298,20,49,1,6133.0868387386345,1
1283.9830347891868,57,35,0,5751.375781436571,0
7161.123393507651,63,48,0,3533.6671328021735,0
7631.7719813072845,41,36,1,5148.998458143838,0
5656.644255938013,67,18,0,6127.080685057684,1
7732.575081550154,49,49,0,2495.8920783179424,0
4988.576404007468,64,39,1,5815.040288569902,1
5275.0550108817415,39,32,1,4006.06436158123,1
4332.656081749641,40,24,0,5855.898002889739,1
351.6493547665424,19,23,1,3855.111265186225,0
1168.125127233714,44,32,0,2292.6768490032214,0
411.14893829866907,59,37,0,2558.686343175256,0
6400.463071511426,19,12,0,5072.127419992073,0
3212.124212655634,43,49,1,5389.583752582223,1
5134.849842530557,34,13,1,3643.525062343387,1
9084.908091868321,57,23,1,5957.888688166061,1
2567.993068573862,50,25,1,2507.71990659656,0
4162.790938052734,26,35,1,4900.880302029025,1
7579.956271576182,60,41,0,3183.475700356315,0
2365.1018383670626,65,30,0,4022.245838296761,1
862.1011073050506,56,17,0,5071.098006974621,0
2968.5393838463033,46,49,0,3709.3799520740713,0
1696.0907438146437,59,20,1,4423.166683655262,1
9304.006758191474,43,48,0,6509.439213821661,1
8100.3917576877275,52,25,1,4134.6621957152765,1
6370.697189453193,67,22,0,6253.5381680977125,1
8727.459842858405,42,13,1,3305.439718013573,0
8056.353561301233,41,19,1,5794.706266872924,1
1947.0435829717549,30,49,0,7162.35293098685,1
8936.33408505078,24,36,0,1292.533249809066,1
5439.4881949649425,53,12,0,3804.657116794285,0
8093.657536124219,62,41,0,5865.60819077081,0
8971.303869242583,37,19,1,4695.431920935511,1
3248.2344022214525,18,12,0,5556.718810056963,0
1189.514052824,25,9,0,4094.022219926269,1
2356.5581091652225,63,7,1,5129.88468120935,0
4328.367107399938,33,28,0,4766.484146911881,0
8198.346182632682,31,14,0,6751.673092489711,0
8621.2327742378,29,31,0,5381.6312649518195,0
168.82609225878798,68,19,0,5506.403993112804,1
5156.398295517901,40,47,0,4382.184550816299,1
4232.368931172912,32,16,1,4268.59066389126,1
2298.8673236602294,45,5,0,4351.162718270569,0
1286.6671366034598,51,35,0,5591.678213567446,1
3442.3901968959167,19,12,0,4368.523278769606,1
9434.80606873394,49,25,0,5434.66228534462,1
3299.709027005477,40,21,0,8113.101197968159,0
5236.027155259324,39,36,1,6306.687055147539,0
7059.887693062261,68,23,0,4510.964701748238,0
3699.9330635550104,42,16,1,6801.820883245917,1
9720.64261893751,39,39,1,4387.886940467673,1
9628.228219926901,39,45,0,1942.8131972332194,1
2592.644728671105,66,42,0,3487.8705336238936,0
5022.7602083346155,69,39,0,2193.8121184612164,0
3078.6952671860195,59,14,0,4472.729773938037,1
2919.9208943369295,23,31,1,5027.627568784327,0
465.18077880987465,32,5,0,7514.655968412924,0
6134.686906400979,60,35,0,5490.391060646244,0
5076.522329965729,54,23,0,4671.349206786704,0
609.6396373748946,50,29,0,6244.1083717752335,1
2858.599995942453,25,43,0,1683.2970364881721,0
9091.832271069872,61,11,0,5353.4218371628485,0
2471.662717603027,61,18,1,6156.29779083045,0
1534.4592337031086,22,47,1,2782.1206313302378,0
4945.582326747874,56,12,0,6715.631064810394,1
9857.939495694947,21,9,0,5507.744611241621,1
2496.347187963854,23,10,0,4377.068129148798,0
6754.141919318197,62,44,1,5949.172799159427,0
7640.034191754304,49,17,0,8406.039286706593,0
2452.611685524757,69,38,1,5272.799382587743,0
7309.34185125741,47,7,0,5372.330879450504,0
3741.053013920607,64,46,0,4310.958650689634,0
6359.827722876436,52,13,0,3725.233445802812,1
6371.944136532858,57,40,0,6245.503724816368,0
5404.169372340109,69,42,1,3715.8742611366993,1
993.8687235386421,33,9,1,5107.349355829088,1
8369.494706333457,30,27,0,4283.513829852325,0
3275.7226432201846,67,2,0,5718.469738619588,1
1946.533252958557,59,5,1,5500.493157930422,1
503.67390139216275,47,29,1,6556.309916386848,1
5949.840137563594,36,37,1,4234.975401717879,1
6807.887182238596,34,38,1,4595.187597059943,1
264.2195063857759,36,19,0,3531.854426326539,1
5169.721277162882,45,8,1,4333.560109885832,0
2342.3081744595856,43,48,0,5565.950739567278,1
6487.2106250535535,54,45,1,6135.482924968028,1
1826.2276471494154,43,1,1,3616.752013733562,1
6940.283607214413,40,22,1,6304.40888015849,0
3928.6799283753203,26,17,1,7033.456788207426,1
9373.626888493673,29,7,1,5620.152354835551,0
1461.457347045333,18,25,0,7815.193718837099,1
3476.5568753975595,18,45,0,3839.3162013446404,0
1223.3878602818318,64,4,1,3133.017945032874,0
9254.466820957772,51,36,1,2331.919626643582,1
8785.659598471711,49,6,0,7244.066467233774,1
2653.6221143800403,65,31,1,5981.548484531087,0
6633.842055738372,42,19,1,4916.622993634317,1
8190.499781992036,57,44,0,5419.95293947973,0
5596.488034834677,62,39,1,3311.7664290524353,0
5343.540725724464,18,27,1,8668.627969425239,0
2494.3376799144717,33,10,0,5193.831772962842,0
1021.7174012784022,56,26,0,5164.092191907339,0
8982.436003737936,22,19,0,6088.649935848038,1
9014.138765916972,39,39,1,5721.51384760507,0
6367.704427005353,46,3,0,5335.826036418697,0
3456.3949313821367,20,45,0,3814.2883168320323,1
3557.174788665343,29,13,0,5707.202535703994,0
7286.961220815369,43,28,0,7823.03674471255,1
8981.391573530513,33,20,0,7018.130069232467,1
8882.155600224662,68,28,0,7389.779939959095,1
7820.767903990476,54,8,1,4233.176485353222,0
